date_to,so2,o3,no2,pm10,pm2.5,benzen
2025-03-31 09:00,,28.0,6.0,2,2,
2025-03-31 10:00,,70.0,2.0,3,2,
2025-03-31 11:00,,84.0,1.0,3,2,
2025-03-31 12:00,,88.0,1.0,2,2,
2025-03-31 13:00,,92.0,2.0,2,2,
2025-03-31 14:00,,93.0,3.0,2,2,
2025-03-31 15:00,,94.0,3.0,2,2,
2025-03-31 16:00,,90.0,3.0,2,2,
2025-03-31 17:00,,94.0,3.0,2,2,
2025-03-31 18:00,,93.0,3.0,2,2,
2025-03-31 19:00,,90.0,3.0,2,2,
2025-03-31 20:00,,61.0,3.0,2,2,
2025-03-31 21:00,,47.0,,3,2,
2025-03-31 22:00,,60.0,,3,2,
2025-03-31 23:00,,67.0,,3,2,
2025-04-01 00:00,,,,4,3,
2025-04-01 01:00,,74.0,,2,2,
2025-04-01 02:00,,77.0,,2,2,
2025-04-01 03:00,,80.0,,2,2,
2025-04-01 04:00,,76.0,,2,2,
2025-04-01 05:00,,76.0,,2,2,
2025-04-01 06:00,,76.0,,2,2,
2025-04-01 07:00,,74.0,,3,3,
2025-04-01 08:00,,73.0,,4,4,
2025-04-01 09:00,,70.0,,10,8,
2025-04-01 10:00,,68.0,,12,11,
2025-04-01 11:00,,67.0,,14,13,
2025-04-01 12:00,,66.0,,16,15,
2025-04-01 13:00,,68.0,,17,15,
2025-04-01 14:00,,68.0,,20,18,
2025-04-01 15:00,,70.0,,21,19,
