date_to,o3,no2,pm10,pm2.5
2025-03-25 15:00,93.0,4.0,5,3
2025-03-25 16:00,86.0,9.0,5,3
2025-03-25 17:00,83.0,15.0,6,3
2025-03-25 18:00,82.0,16.0,5,3
2025-03-25 19:00,64.0,29.0,7,4
2025-03-25 20:00,41.0,48.0,13,7
2025-03-25 21:00,67.0,20.0,10,7
2025-03-25 22:00,42.0,31.0,11,7
2025-03-25 23:00,39.0,30.0,12,7
2025-03-26 00:00,43.0,19.0,12,7
2025-03-26 01:00,,10.0,9,6
2025-03-26 02:00,49.0,,8,5
2025-03-26 03:00,51.0,8.0,7,4
2025-03-26 04:00,43.0,8.0,8,5
2025-03-26 05:00,36.0,15.0,7,4
2025-03-26 06:00,16.0,35.0,8,4
2025-03-26 07:00,6.0,54.0,10,5
2025-03-26 08:00,5.0,63.0,15,8
2025-03-26 09:00,23.0,42.0,14,8
2025-03-26 10:00,43.0,27.0,10,4
2025-03-26 11:00,60.0,21.0,7,3
2025-03-26 12:00,76.0,11.0,5,3
2025-03-26 13:00,73.0,14.0,5,3
2025-03-26 14:00,78.0,14.0,5,3
2025-03-26 15:00,82.0,12.0,5,3
2025-03-26 16:00,81.0,13.0,6,4
2025-03-26 17:00,82.0,11.0,4,3
2025-03-26 18:00,79.0,14.0,5,3
2025-03-26 19:00,65.0,28.0,7,5
2025-03-26 20:00,69.0,26.0,8,6
2025-03-26 21:00,80.0,14.0,6,5
2025-03-26 22:00,80.0,12.0,6,4
2025-03-26 23:00,83.0,9.0,6,4
2025-03-27 00:00,84.0,7.0,6,4
2025-03-27 01:00,,4.0,5,4
2025-03-27 02:00,95.0,3.0,6,5
2025-03-27 03:00,93.0,,7,5
2025-03-27 04:00,92.0,3.0,7,5
2025-03-27 05:00,88.0,5.0,5,4
2025-03-27 06:00,88.0,5.0,5,4
2025-03-27 07:00,87.0,10.0,5,4
2025-03-27 08:00,84.0,14.0,5,4
2025-03-27 09:00,78.0,20.0,7,4
2025-03-27 10:00,85.0,15.0,7,4
2025-03-27 11:00,84.0,16.0,5,3
2025-03-27 12:00,89.0,10.0,5,3
2025-03-27 13:00,91.0,9.0,5,3
2025-03-27 14:00,85.0,16.0,7,4
2025-03-27 15:00,88.0,10.0,6,4
2025-03-27 16:00,82.0,17.0,8,5
2025-03-27 17:00,82.0,18.0,7,5
2025-03-27 18:00,87.0,15.0,9,6
2025-03-27 19:00,83.0,17.0,9,7
2025-03-27 20:00,79.0,18.0,9,7
2025-03-27 21:00,74.0,21.0,8,6
2025-03-27 22:00,88.0,9.0,8,6
2025-03-27 23:00,94.0,6.0,8,6
2025-03-28 00:00,94.0,4.0,8,6
2025-03-28 01:00,95.0,3.0,8,6
2025-03-28 02:00,,4.0,8,6
2025-03-28 03:00,90.0,,8,6
2025-03-28 04:00,77.0,8.0,9,6
2025-03-28 05:00,88.0,6.0,8,7
2025-03-28 06:00,89.0,11.0,8,7
2025-03-28 07:00,84.0,16.0,8,6
2025-03-28 08:00,78.0,22.0,9,7
2025-03-28 09:00,73.0,25.0,9,7
2025-03-28 10:00,68.0,28.0,11,8
2025-03-28 11:00,80.0,17.0,10,7
2025-03-28 12:00,86.0,12.0,6,5
2025-03-28 13:00,86.0,12.0,6,4
2025-03-28 14:00,74.0,22.0,5,4
2025-03-28 15:00,73.0,23.0,7,5
2025-03-28 16:00,54.0,29.0,9,6
2025-03-28 17:00,39.0,40.0,17,11
2025-03-28 18:00,76.0,12.0,7,5
2025-03-28 19:00,68.0,21.0,4,3
2025-03-28 20:00,76.0,12.0,3,3
2025-03-28 21:00,70.0,15.0,3,3
2025-03-28 22:00,75.0,9.0,3,2
2025-03-28 23:00,76.0,6.0,2,2
2025-03-29 00:00,75.0,6.0,2,2
2025-03-29 01:00,72.0,7.0,2,2
2025-03-29 02:00,,4.0,2,2
2025-03-29 03:00,68.0,6.0,2,2
2025-03-29 04:00,55.0,,3,2
2025-03-29 05:00,45.0,14.0,7,6
2025-03-29 06:00,30.0,23.0,11,10
2025-03-29 07:00,15.0,34.0,17,13
2025-03-29 08:00,12.0,36.0,15,13
2025-03-29 09:00,23.0,32.0,15,11
2025-03-29 10:00,34.0,25.0,9,5
2025-03-29 11:00,41.0,18.0,8,5
2025-03-29 12:00,44.0,16.0,7,5
2025-03-29 13:00,47.0,14.0,8,6
2025-03-29 14:00,47.0,14.0,10,7
2025-03-29 15:00,49.0,16.0,9,6
2025-03-29 16:00,59.0,15.0,4,2
2025-03-29 17:00,55.0,18.0,6,3
2025-03-29 18:00,35.0,37.0,8,6
2025-03-29 19:00,44.0,31.0,10,8
2025-03-29 20:00,68.0,13.0,2,2
2025-03-29 21:00,68.0,14.0,2,2
2025-03-29 22:00,72.0,9.0,2,2
2025-03-29 23:00,70.0,10.0,2,2
2025-03-30 00:00,56.0,16.0,2,2
2025-03-30 01:00,59.0,10.0,2,2
2025-03-30 03:00,50.0,14.0,4,2
2025-03-30 04:00,,14.0,4,3
2025-03-30 05:00,30.0,,5,2
2025-03-30 06:00,32.0,15.0,4,2
2025-03-30 07:00,31.0,24.0,3,2
2025-03-30 08:00,18.0,32.0,5,3
2025-03-30 09:00,26.0,31.0,4,2
2025-03-30 10:00,27.0,34.0,4,2
2025-03-30 11:00,55.0,11.0,2,2
2025-03-30 12:00,59.0,11.0,3,2
2025-03-30 13:00,67.0,8.0,4,3
2025-03-30 14:00,79.0,6.0,5,4
2025-03-30 15:00,87.0,6.0,2,2
2025-03-30 16:00,89.0,5.0,3,2
2025-03-30 17:00,93.0,6.0,3,2
2025-03-30 18:00,92.0,7.0,4,2
2025-03-30 19:00,87.0,10.0,3,2
2025-03-30 20:00,61.0,32.0,5,3
2025-03-30 21:00,31.0,53.0,11,7
2025-03-30 22:00,26.0,52.0,13,8
2025-03-30 23:00,40.0,31.0,10,6
2025-03-31 00:00,43.0,24.0,10,7
2025-03-31 01:00,37.0,24.0,9,6
2025-03-31 02:00,40.0,15.0,7,5
2025-03-31 03:00,45.0,13.0,7,5
2025-03-31 04:00,,13.0,6,4
2025-03-31 05:00,45.0,16.0,6,4
2025-03-31 06:00,21.0,,8,4
2025-03-31 07:00,12.0,54.0,11,5
2025-03-31 08:00,12.0,56.0,11,5
2025-03-31 09:00,21.0,53.0,13,5
2025-03-31 10:00,64.0,17.0,8,3
2025-03-31 11:00,75.0,10.0,3,2
2025-03-31 12:00,78.0,8.0,4,2
2025-03-31 13:00,82.0,6.0,3,2
2025-03-31 14:00,85.0,7.0,3,2
2025-03-31 15:00,89.0,7.0,3,2
2025-03-31 16:00,91.0,6.0,2,2
2025-03-31 17:00,88.0,10.0,2,2
2025-03-31 18:00,87.0,9.0,3,2
2025-03-31 19:00,87.0,9.0,2,2
2025-03-31 20:00,87.0,10.0,2,2
2025-03-31 21:00,80.0,14.0,2,2
2025-03-31 22:00,83.0,8.0,2,2
2025-03-31 23:00,83.0,6.0,2,2
2025-04-01 00:00,81.0,5.0,2,2
2025-04-01 01:00,81.0,3.0,2,2
2025-04-01 02:00,78.0,3.0,2,2
2025-04-01 03:00,79.0,2.0,2,2
2025-04-01 04:00,77.0,2.0,2,2
2025-04-01 05:00,,3.0,2,2
2025-04-01 06:00,73.0,,2,2
2025-04-01 07:00,55.0,27.0,2,2
2025-04-01 08:00,52.0,31.0,3,2
2025-04-01 09:00,67.0,14.0,3,2
2025-04-01 10:00,73.0,9.0,3,2
2025-04-01 11:00,79.0,6.0,5,3
2025-04-01 12:00,79.0,6.0,6,4
2025-04-01 13:00,79.0,8.0,9,5
2025-04-01 14:00,81.0,7.0,7,5
2025-04-01 15:00,78.0,10.0,7,5
