date_to,o3,no2,pm10,pm2.5
2025-03-30 14:00,57.0,3.0,6,4
2025-03-30 15:00,78.0,2.0,3,2
2025-03-30 16:00,83.0,,6,4
2025-03-30 17:00,75.0,3.0,5,3
2025-03-30 18:00,79.0,3.0,6,4
2025-03-30 19:00,65.0,7.0,9,6
2025-03-30 20:00,44.0,7.0,22,17
2025-03-30 21:00,37.0,8.0,17,13
2025-03-30 22:00,37.0,7.0,17,12
2025-03-30 23:00,38.0,5.0,16,11
2025-03-31 00:00,35.0,5.0,15,11
2025-03-31 01:00,62.0,5.0,11,8
2025-03-31 02:00,,4.0,6,4
2025-03-31 03:00,52.0,4.0,6,4
2025-03-31 04:00,45.0,3.0,7,5
2025-03-31 05:00,35.0,3.0,5,3
2025-03-31 06:00,35.0,5.0,8,5
2025-03-31 07:00,37.0,6.0,4,3
2025-03-31 08:00,33.0,8.0,6,3
2025-03-31 09:00,38.0,7.0,7,3
2025-03-31 10:00,60.0,4.0,8,4
2025-03-31 11:00,82.0,3.0,2,2
2025-03-31 12:00,83.0,4.0,2,2
2025-03-31 13:00,88.0,3.0,2,2
2025-03-31 14:00,91.0,3.0,2,2
2025-03-31 15:00,93.0,2.0,2,2
2025-03-31 16:00,91.0,,3,2
2025-03-31 17:00,87.0,2.0,2,2
2025-03-31 18:00,83.0,3.0,2,2
2025-03-31 19:00,82.0,3.0,2,2
2025-03-31 20:00,82.0,3.0,2,2
2025-03-31 21:00,81.0,3.0,2,2
2025-03-31 22:00,77.0,4.0,2,2
2025-03-31 23:00,76.0,3.0,2,2
2025-04-01 00:00,73.0,3.0,2,2
2025-04-01 01:00,74.0,2.0,2,2
2025-04-01 02:00,69.0,2.0,2,2
2025-04-01 03:00,,2.0,2,2
2025-04-01 04:00,65.0,2.0,2,2
2025-04-01 05:00,64.0,3.0,2,2
2025-04-01 06:00,64.0,2.0,2,2
2025-04-01 07:00,63.0,3.0,2,2
2025-04-01 08:00,57.0,4.0,2,2
2025-04-01 09:00,56.0,6.0,3,2
2025-04-01 10:00,56.0,6.0,9,7
2025-04-01 11:00,59.0,6.0,15,12
2025-04-01 12:00,66.0,4.0,18,16
2025-04-01 13:00,68.0,4.0,18,16
2025-04-01 14:00,69.0,4.0,17,16
2025-04-01 15:00,70.0,5.0,17,15
