date_to,o3,no2,pm10,pm2.5
2025-03-25 15:00,84.0,6.0,7,5
2025-03-25 16:00,86.0,4.0,9,7
2025-03-25 17:00,84.0,4.0,6,5
2025-03-25 18:00,76.0,5.0,7,6
2025-03-25 19:00,65.0,9.0,12,9
2025-03-25 20:00,54.0,10.0,14,11
2025-03-25 21:00,51.0,8.0,16,12
2025-03-25 22:00,54.0,7.0,19,15
2025-03-25 23:00,,6.0,13,10
2025-03-26 00:00,52.0,5.0,10,7
2025-03-26 01:00,48.0,4.0,18,10
2025-03-26 02:00,38.0,3.0,11,6
2025-03-26 03:00,38.0,3.0,10,6
2025-03-26 04:00,34.0,2.0,9,5
2025-03-26 05:00,37.0,3.0,8,4
2025-03-26 06:00,35.0,5.0,9,5
2025-03-26 07:00,33.0,5.0,7,4
2025-03-26 08:00,28.0,8.0,10,5
2025-03-26 09:00,25.0,9.0,10,6
2025-03-26 10:00,27.0,9.0,12,8
2025-03-26 11:00,30.0,11.0,14,10
2025-03-26 12:00,37.0,11.0,12,9
2025-03-26 13:00,63.0,,11,9
2025-03-26 14:00,78.0,3.0,9,8
2025-03-26 15:00,82.0,3.0,11,9
2025-03-26 16:00,84.0,3.0,11,9
2025-03-26 17:00,84.0,4.0,8,6
2025-03-26 18:00,82.0,5.0,6,4
2025-03-26 19:00,73.0,7.0,9,6
2025-03-26 20:00,59.0,8.0,13,9
2025-03-26 21:00,53.0,8.0,26,20
2025-03-26 22:00,50.0,7.0,20,16
2025-03-26 23:00,,6.0,13,10
2025-03-27 00:00,43.0,7.0,14,11
2025-03-27 01:00,45.0,6.0,14,11
2025-03-27 02:00,44.0,7.0,16,13
2025-03-27 03:00,44.0,7.0,27,23
2025-03-27 04:00,50.0,7.0,15,12
2025-03-27 05:00,54.0,5.0,12,9
2025-03-27 06:00,45.0,5.0,12,9
2025-03-27 07:00,61.0,5.0,13,11
2025-03-27 08:00,68.0,4.0,17,15
2025-03-27 09:00,70.0,4.0,14,13
2025-03-27 10:00,72.0,4.0,11,9
2025-03-27 11:00,81.0,4.0,12,9
2025-03-27 12:00,92.0,3.0,14,12
2025-03-27 13:00,92.0,,15,13
2025-03-27 14:00,95.0,4.0,16,14
2025-03-27 15:00,95.0,4.0,15,13
2025-03-27 16:00,90.0,4.0,14,12
2025-03-27 17:00,87.0,5.0,15,11
2025-03-27 18:00,83.0,5.0,13,11
2025-03-27 19:00,81.0,5.0,13,10
2025-03-27 20:00,78.0,4.0,10,8
2025-03-27 21:00,75.0,4.0,9,7
2025-03-27 22:00,72.0,5.0,9,7
2025-03-27 23:00,68.0,6.0,9,7
2025-03-28 00:00,,4.0,8,6
2025-03-28 01:00,69.0,4.0,7,5
2025-03-28 02:00,55.0,4.0,8,6
2025-03-28 03:00,54.0,6.0,15,13
2025-03-28 04:00,59.0,5.0,17,15
2025-03-28 05:00,59.0,5.0,19,17
2025-03-28 06:00,55.0,5.0,12,10
2025-03-28 07:00,51.0,7.0,11,9
2025-03-28 08:00,48.0,8.0,11,9
2025-03-28 09:00,46.0,9.0,11,10
2025-03-28 10:00,50.0,10.0,15,13
2025-03-28 11:00,63.0,7.0,16,14
2025-03-28 12:00,66.0,6.0,17,16
2025-03-28 13:00,65.0,6.0,17,16
2025-03-28 14:00,63.0,,21,19
2025-03-28 15:00,63.0,7.0,17,16
2025-03-28 16:00,62.0,7.0,18,16
2025-03-28 17:00,67.0,6.0,15,13
2025-03-28 18:00,61.0,7.0,13,12
2025-03-28 19:00,57.0,7.0,13,12
2025-03-28 20:00,47.0,10.0,25,22
2025-03-28 21:00,46.0,9.0,21,19
2025-03-28 22:00,46.0,9.0,22,20
2025-03-28 23:00,45.0,8.0,16,15
2025-03-29 00:00,,8.0,21,19
2025-03-29 01:00,44.0,8.0,23,20
2025-03-29 02:00,45.0,5.0,10,9
2025-03-29 03:00,41.0,8.0,19,15
2025-03-29 04:00,43.0,5.0,14,12
2025-03-29 05:00,51.0,3.0,7,6
2025-03-29 06:00,57.0,3.0,7,6
2025-03-29 07:00,58.0,3.0,9,8
2025-03-29 08:00,59.0,3.0,8,8
2025-03-29 09:00,58.0,3.0,6,5
2025-03-29 10:00,63.0,3.0,3,3
2025-03-29 11:00,67.0,3.0,3,2
2025-03-29 12:00,69.0,3.0,4,3
2025-03-29 13:00,75.0,3.0,3,2
2025-03-29 14:00,68.0,,5,4
2025-03-29 15:00,63.0,4.0,2,2
2025-03-29 16:00,62.0,4.0,2,2
2025-03-29 17:00,60.0,5.0,2,2
2025-03-29 18:00,58.0,6.0,3,2
2025-03-29 19:00,59.0,5.0,2,2
2025-03-29 20:00,58.0,5.0,2,2
2025-03-29 21:00,59.0,5.0,3,2
2025-03-29 22:00,58.0,5.0,4,3
2025-03-29 23:00,57.0,5.0,5,4
2025-03-30 00:00,51.0,6.0,7,5
2025-03-30 01:00,,6.0,13,9
2025-03-30 03:00,48.0,5.0,12,9
2025-03-30 04:00,46.0,5.0,10,7
2025-03-30 05:00,46.0,5.0,7,6
2025-03-30 06:00,46.0,5.0,8,7
2025-03-30 07:00,45.0,5.0,5,3
2025-03-30 08:00,44.0,4.0,4,2
2025-03-30 09:00,43.0,4.0,6,3
2025-03-30 10:00,44.0,4.0,6,4
2025-03-30 11:00,43.0,4.0,6,4
2025-03-30 12:00,46.0,4.0,4,3
2025-03-30 13:00,50.0,4.0,5,4
